Match_ID,Match_Date,Match,Winner,Loser,WinLoss,Championship_Match,Promotion,Match_Type,Stipulation,Event,Event_Name,Event_Type,WinChampionship,LoseChampionship,SinglesChampionshipHeld,TagChampionshipHeld,IsTitleMatch,Venue,CityTown,StateProvince,Country
1,1999-11-05,The Prototype vs Jobbers-R-Us (Funky Billy Kim & Troubled Youth),The Prototype,Jobbers-R-Us (Funky Billy Kim & Troubled Youth),Win,Exhibition,UPW,1 vs 2 Handicap Match,No Stipulation,UPW Entertainment Overload,UPW Entertainment Overload,Non-Televised,No,No,No Championship,No Championship,No,Galaxy Theatre,Santa Ana,California,United States
2,1999-12-02,Bad Boy Basil vs The Prototype,Bad Boy Basil,The Prototype,Loss,Exhibition,UPW,Singles,No Stipulation,UPW Entertainment Overload,UPW Entertainment Overload,Non-Televised,No,No,No Championship,No Championship,No,The Roxy,West Hollywood,California,United States
4,1999-12-08,The Prototype vs Dirty Dave Sanchez,The Prototype,Dirty Dave Sanchez,Win,Exhibition,UPW,Singles,No Stipulation,UPW Entertainment Overload,UPW Entertainment Overload,Non-Televised,No,No,No Championship,No Championship,No,Galaxy Theatre,Santa Ana,California,United States
3,1999-12-08,Bad Boy Basil vs ??? and Andy The Enterprise and Dirty Dave Sanchez and Funky Billy Kim and Hardkore Kidd and Justin Sane and Lil Cholo and Little Genie and Logan X and Shane Ballard and Shannon Ballard and Smelly and The Main Man and The Prodigy and The Prototype and Troubled Youth and Who's Your Daddy Dempsey,Bad Boy Basil,??? and Andy The Enterprise and Dirty Dave Sanchez and Funky Billy Kim and Hardkore Kidd and Justin Sane and Lil Cholo and Little Genie and Logan X and Shane Ballard and Shannon Ballard and Smelly and The Main Man and The Prodigy and The Prototype and Troubled Youth and Who's Your Daddy Dempsey,Win,Contendership,UPW,Battle Royal,Battle Royal ,UPW Entertainment Overload,UPW Entertainment Overload,Non-Televised,No,No,No Championship,No Championship,No,Galaxy Theatre,Santa Ana,California,United States
5,2000-01-19,The Prototype vs Smelly,The Prototype,Smelly,Win,Exhibition,UPW,Singles,No Stipulation,UPW Entertainment Overload,UPW Entertainment Overload,Non-Televised,No,No,No Championship,No Championship,No,The Roxy,West Hollywood,California,United States
6,2000-01-27,Mike Bell vs The Prototype,Mike Bell,The Prototype,Loss,Exhibition,UPW,Singles,No Stipulation,UPW Entertainment Overload,UPW Entertainment Overload,Non-Televised,No,No,No Championship,No Championship,No,Galaxy Theatre,Santa Ana,California,United States
7,2000-02-19,The Prototype vs Navajo Warrior,The Prototype,Navajo Warrior,Win,Exhibition,PWA,Singles,No Stipulation,PWA,PWA,Non-Televised,No,No,No Championship,No Championship,No,Lancaster,Lancaster,California,United States
8,2000-03-17,The Prototype vs Navajo Warrior,The Prototype,Navajo Warrior,Win,Exhibition,Wrestling in the USA,Singles,No Stipulation,Wrestling In The USA - Freelance Shows,Wrestling In The USA - Freelance Shows,Non-Televised,No,No,No Championship,No Championship,No,Vernal,Vernal,Utah,United States
9,2000-04-27,The Prototype vs Frankie Kazarian,The Prototype,Frankie Kazarian,Win,UPW Heavyweight Championship,NECW,Singles,No Stipulation,NECW,NECW,Non-Televised,Yes,No,UPW Heavyweight Championship,No Championship,Yes,Good Time Emporium,Somerville,Massachusetts,United States
10,2000-05-24,Smelly vs The Prototype,Smelly,The Prototype,Loss,UPW Heavyweight Championship,UPW,Singles,No Stipulation,UPW Internet Invasion,UPW Internet Invasion,Non-Televised,No,Yes,UPW Heavyweight Championship,No Championship,Yes,Galaxy Theatre,Santa Ana,California,United States
