EventID,Date,Promotion,Event,EventName,EventType,Location,CityTown,StateProvince,Country,MultiShowDay
1,2019-05-25,AEW,AEW Double Or Nothing  The Buy In,AEW Double Or Nothing 2019 - The Buy In,Televised,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,True
2,2019-05-25,AEW,AEW Double Or Nothing,AEW Double Or Nothing 2019,PLE/PPV,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,True
3,2019-06-29,AEW,AEW Fyter Fest,AEW Fyter Fest 2019,Televised,"Daytona Beach, Florida, USA",Daytona Beach,Florida,USA,True
4,2019-06-29,AEW,AEW Fyter Fest  The Buy In,AEW Fyter Fest 2019 - The Buy In,Televised,"Daytona Beach, Florida, USA",Daytona Beach,Florida,USA,True
5,2019-07-13,AEW,AEW Fight For The Fallen,AEW Fight For The Fallen 2019,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
6,2019-07-13,AEW,AEW Fight For The Fallen  The Buy In,AEW Fight For The Fallen 2019 - The Buy In,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
7,2019-08-31,AEW,AEW All Out  The Buy In,AEW All Out 2019 - The Buy In,Televised,"Hoffman Estates, Illinois, USA",Hoffman Estates,Illinois,USA,True
8,2019-08-31,AEW,AEW All Out,AEW All Out 2019,PLE/PPV,"Hoffman Estates, Illinois, USA",Hoffman Estates,Illinois,USA,True
9,2019-10-02,AEW,AEW Dynamite,AEW Dynamite #1,Televised,"Washington, District Of Columbia, USA",Washington,District Of Columbia,USA,True
10,2019-10-02,AEW,AEW Dark,AEW Dark #1,Televised,"Washington, District Of Columbia, USA",Washington,District Of Columbia,USA,True
11,2019-10-09,AEW,AEW Dynamite,AEW Dynamite #2,Televised,"Boston, Massachusetts, USA",Boston,Massachusetts,USA,True
12,2019-10-09,AEW,AEW Dark,AEW Dark #2,Televised,"Boston, Massachusetts, USA",Boston,Massachusetts,USA,True
13,2019-10-16,AEW,AEW Dynamite,AEW Dynamite #3,Televised,"Philadelphia, Pennsylvania, USA",Philadelphia,Pennsylvania,USA,True
14,2019-10-16,AEW,AEW Dark,AEW Dark #3,Televised,"Philadelphia, Pennsylvania, USA",Philadelphia,Pennsylvania,USA,True
15,2019-10-23,AEW,AEW Dynamite,AEW Dynamite #4,Televised,"Pittsburgh, Pennsylvania, USA",Pittsburgh,Pennsylvania,USA,True
16,2019-10-23,AEW,AEW Dark,AEW Dark #4,Televised,"Pittsburgh, Pennsylvania, USA",Pittsburgh,Pennsylvania,USA,True
17,2019-10-30,AEW,AEW Dynamite,AEW Dynamite #5,Televised,"Charleston, West Virginia, USA",Charleston,West Virginia,USA,True
18,2019-10-30,AEW,AEW Dark,AEW Dark #5,Televised,"Charleston, West Virginia, USA",Charleston,West Virginia,USA,True
19,2019-11-06,AEW,AEW Dynamite,AEW Dynamite #6,Televised,"Charlotte, North Carolina, USA",Charlotte,North Carolina,USA,True
20,2019-11-06,AEW,AEW Dark,AEW Dark #6,Televised,"Charlotte, North Carolina, USA",Charlotte,North Carolina,USA,True
21,2019-11-09,AEW,AEW Full Gear  The Buy In,AEW Full Gear 2019 - The Buy In,Televised,"Baltimore, Maryland, USA",Baltimore,Maryland,USA,True
22,2019-11-09,AEW,AEW Full Gear,AEW Full Gear 2019,PLE/PPV,"Baltimore, Maryland, USA",Baltimore,Maryland,USA,True
23,2019-11-13,AEW,AEW Dynamite,AEW Dynamite #7,Televised,"Nashville, Tennessee, USA",Nashville,Tennessee,USA,True
24,2019-11-13,AEW,AEW Dark,AEW Dark #7,Televised,"Nashville, Tennessee, USA",Nashville,Tennessee,USA,True
25,2019-11-20,AEW,AEW Dynamite,AEW Dynamite #8,Televised,"Indianapolis, Indiana, USA",Indianapolis,Indiana,USA,True
26,2019-11-20,AEW,AEW Dark,AEW Dark #8,Televised,"Indianapolis, Indiana, USA",Indianapolis,Indiana,USA,True
27,2019-11-27,AEW,AEW Dynamite,AEW Dynamite #9 - Thanksgiving Eve 2019,Televised,"Hoffman Estates, Illinois, USA",Hoffman Estates,Illinois,USA,True
28,2019-11-27,AEW,AEW Dark,AEW Dark #9,Televised,"Hoffman Estates, Illinois, USA",Hoffman Estates,Illinois,USA,True
29,2019-12-04,AEW,AEW Dynamite,AEW Dynamite #10,Televised,"Champaign, Illinois, USA",Champaign,Illinois,USA,True
30,2019-12-04,AEW,AEW Dark,AEW Dark #10,Televised,"Champaign, Illinois, USA",Champaign,Illinois,USA,True
31,2019-12-11,AEW,AEW Dynamite,AEW Dynamite #11,Televised,"Garland, Texas, USA",Garland,Texas,USA,True
32,2019-12-11,AEW,AEW Dark,AEW Dark #11,Televised,"Garland, Texas, USA",Garland,Texas,USA,True
33,2019-12-18,AEW,AEW Dynamite,AEW Dynamite #12,Televised,"Corpus Christi, Texas, USA",Corpus Christi,Texas,USA,True
34,2019-12-18,AEW,AEW Dark,AEW Dark #12,Televised,"Corpus Christi, Texas, USA",Corpus Christi,Texas,USA,True
35,2019-12-31,AEW,AEW Dark,AEW Dark #13 - 2019 Year In Review,Televised,USA,USA,USA,USA,False
36,2020-01-01,AEW,AEW Dynamite,AEW Dynamite #13 - Homecoming 2020,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
37,2020-01-01,AEW,AEW Dark,AEW Dark #14,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
38,2020-01-08,AEW,AEW Dynamite,AEW Dynamite #14 - 1 Year Anniversary,Televised,"Southaven, Mississippi, USA",Southaven,Mississippi,USA,True
39,2020-01-08,AEW,AEW Dark,AEW Dark #15,Televised,"Southaven, Mississippi, USA",Southaven,Mississippi,USA,True
40,2020-01-15,AEW,Jericho Cruise,AEW Rock N Rager Bonus Match,Non-Televised,"Coral Gables, Florida, USA",Coral Gables,Florida,USA,True
41,2020-01-15,AEW,AEW Dark,AEW Dark Bonus Match,Televised,"Coral Gables, Florida, USA",Coral Gables,Florida,USA,True
42,2020-01-15,AEW,AEW Dynamite,AEW Dynamite #15 - Bash At The Beach,Televised,"Coral Gables, Florida, USA",Coral Gables,Florida,USA,True
43,2020-01-15,AEW,AEW Dark,AEW Dark #16,Televised,"Coral Gables, Florida, USA",Coral Gables,Florida,USA,True
44,2020-01-15,AEW,AEW Dark,AEW Dark #17,Televised,"Coral Gables, Florida, USA",Coral Gables,Florida,USA,True
45,2020-01-20,AEW,Jericho Cruise Part Deux,Jericho Cruise Part Deux: Second Wave,Televised,USA,USA,USA,USA,False
46,2020-01-21,AEW,AEW Dynamite,AEW Dynamite #16 - Bash At The Beach,Televised,"Nassau, New Providence, Bahamas",Nassau,New Providence,Bahamas,False
47,2020-01-22,AEW,Jericho Cruise Part Deux,Jericho Cruise Part Deux: Second Wave,Televised,USA,USA,USA,USA,False
