,WeightedDegree,DegreeCentrality,BetweennessCentrality,EigenvectorCentrality,UniqueOpponents,Promotion
BUSHI,1702.0,0.1449,0.00426,0.20575,142.0,NJPW
EVIL,1672.0,0.12959,0.00546,0.23211,127.0,NJPW
Tetsuya Naito,1665.0,0.13878,0.00684,0.20687,136.0,NJPW
Hiroshi Tanahashi,1612.0,0.18673,0.01294,0.20271,183.0,NJPW
SANADA,1612.0,0.12347,0.00108,0.21282,121.0,NJPW
YOSHI-HASHI,1519.0,0.14184,0.00495,0.19372,139.0,NJPW
Tomohiro Ishii,1507.0,0.17449,0.01484,0.18596,171.0,NJPW
Toru Yano,1472.0,0.13878,0.00513,0.18783,136.0,NJPW
Hirooki Goto,1458.0,0.13265,0.00348,0.19048,130.0,NJPW
Yujiro Takahashi,1438.0,0.12857,0.00262,0.19802,126.0,NJPW
Shingo Takagi,1346.0,0.12449,0.0012,0.17192,122.0,NJPW
Yoshinobu Kanemaru,1272.0,0.13776,0.00472,0.15581,135.0,NJPW
Hiromu Takahashi,1266.0,0.13776,0.00356,0.14737,135.0,NJPW
Taichi,1264.0,0.12041,0.00302,0.17842,118.0,NJPW
SHO,1230.0,0.13776,0.00747,0.1622,135.0,NJPW
Kazuchika Okada,1214.0,0.15816,0.0068,0.1503,155.0,NJPW
El Desperado,1195.0,0.14898,0.00871,0.15122,146.0,NJPW
Ryusuke Taguchi,1191.0,0.16327,0.01339,0.14488,160.0,NJPW
Zack Sabre Jr.,1135.0,0.13061,0.00555,0.15567,128.0,NJPW
Tomoaki Honma,1093.0,0.13163,0.00237,0.13316,129.0,NJPW
Great-O-Khan,1007.0,0.10816,0.00079,0.13264,106.0,NJPW
Taiji Ishimori,1002.0,0.12143,0.00216,0.12923,119.0,NJPW
YOH,981.0,0.1398,0.00585,0.12769,137.0,NJPW
Gedo,974.0,0.13571,0.00479,0.1262,133.0,NJPW
DOUKI,956.0,0.11837,0.00181,0.11998,116.0,NJPW
Chase Owens,907.0,0.12755,0.00246,0.11675,125.0,NJPW
El Phantasmo,864.0,0.11837,0.00162,0.10171,116.0,NJPW
Tama Tonga,854.0,0.13265,0.01181,0.0964,130.0,NJPW
Ren Narita,851.0,0.12653,0.00233,0.09469,124.0,NJPW
David Finlay,845.0,0.14184,0.00248,0.09002,139.0,NJPW
Master Wato,840.0,0.10918,0.00143,0.11069,107.0,NJPW
Jeff Cobb,829.0,0.11122,0.0013,0.10952,109.0,NJPW
Tiger Mask,825.0,0.1551,0.00406,0.09079,152.0,NJPW
Shota Umino,799.0,0.12347,0.0015,0.10108,121.0,NJPW
Yota Tsuji,792.0,0.10714,0.0012,0.0923,105.0,NJPW
Togi Makabe,778.0,0.11735,0.00206,0.0939,115.0,NJPW
Minoru Suzuki,749.0,0.11531,0.00153,0.10208,113.0,NJPW
Will Ospreay,727.0,0.14592,0.00258,0.08059,143.0,NJPW
Bad Luck Fale,704.0,0.11633,0.00255,0.08941,114.0,NJPW
TAKA Michinoku,688.0,0.1051,0.00142,0.09219,103.0,NJPW
Yuya Uemura,682.0,0.12245,0.00188,0.08306,120.0,NJPW
Dick Togo,659.0,0.0898,0.00035,0.09537,88.0,NJPW
Satoshi Kojima,655.0,0.14082,0.0145,0.0733,138.0,NJPW
Jado,649.0,0.1051,0.00153,0.08091,103.0,NJPW
Kosei Fujita,631.0,0.11327,0.00173,0.07393,111.0,NJPW
Yuji Nagata,629.0,0.12143,0.00371,0.07477,119.0,NJPW
AJ Styles,620.0,0.13878,0.02354,0.00687,136.0,WWE
Juice Robinson,610.0,0.15102,0.00694,0.06585,148.0,NJPW
Kofi Kingston,607.0,0.14694,0.00814,0.00071,144.0,WWE
Rocky Romero,594.0,0.18673,0.01076,0.03238,183.0,NJPW
Jay White,592.0,0.14694,0.00508,0.05794,144.0,NJPW
Tanga Loa,590.0,0.10306,0.00063,0.07104,101.0,NJPW
KENTA,584.0,0.0898,0.00058,0.07944,88.0,NJPW
KUSHIDA,580.0,0.13878,0.00433,0.0565,136.0,NJPW
Ryohei Oiwa,572.0,0.09592,0.00015,0.07129,94.0,NJPW
Jey Uso,566.0,0.12143,0.00456,0.00087,119.0,WWE
Hiroyoshi Tenzan,564.0,0.11224,0.00302,0.06543,110.0,NJPW
Kenny Omega,559.0,0.15306,0.01003,0.03416,150.0,NJPW
Clark Connors,553.0,0.13367,0.00392,0.04872,131.0,NJPW
Nick Jackson,551.0,0.16327,0.00613,0.01624,160.0,AEW
Matt Jackson,548.0,0.16224,0.00605,0.016,159.0,AEW
Oleg Boltin,538.0,0.08878,0.00042,0.06813,87.0,NJPW
TJP,512.0,0.13469,0.01301,0.04232,132.0,NJPW
Jimmy Uso,495.0,0.11939,0.00765,0.00095,117.0,WWE
Big E,490.0,0.10306,0.00544,0.00054,101.0,WWE
Francesco Akira,479.0,0.08367,0.0006,0.05411,82.0,NJPW
Gabe Kidd,470.0,0.10612,0.00287,0.05828,104.0,NJPW
Seth Rollins,464.0,0.10204,0.00529,0.00042,100.0,WWE
Kota Ibushi,457.0,0.09082,0.00369,0.06325,89.0,NJPW
Sheamus,457.0,0.1102,0.0035,0.00048,108.0,WWE
